,region,category,parameter,mode,powertrain,year,unit,value
435,Mexico,Historical,EV charging points,EV,Publicly available slow,2016,charging points,240
436,Mexico,Historical,EV charging points,EV,Publicly available fast,2017,charging points,50
437,Mexico,Historical,EV charging points,EV,Publicly available slow,2017,charging points,700
438,Mexico,Historical,EV charging points,EV,Publicly available fast,2018,charging points,76
439,Mexico,Historical,EV charging points,EV,Publicly available slow,2018,charging points,1100
440,Mexico,Historical,EV charging points,EV,Publicly available fast,2019,charging points,76
441,Mexico,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1100
442,Mexico,Historical,EV charging points,EV,Publicly available fast,2020,charging points,76
443,Mexico,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1100
444,Mexico,Historical,EV charging points,EV,Publicly available fast,2021,charging points,76
445,Mexico,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1100
450,Netherlands,Historical,EV charging points,EV,Publicly available slow,2010,charging points,400
451,Netherlands,Historical,EV charging points,EV,Publicly available slow,2011,charging points,400
452,Netherlands,Historical,EV charging points,EV,Publicly available fast,2012,charging points,21
453,Netherlands,Historical,EV charging points,EV,Publicly available slow,2012,charging points,2800
454,Netherlands,Historical,EV charging points,EV,Publicly available fast,2013,charging points,21
455,Netherlands,Historical,EV charging points,EV,Publicly available slow,2013,charging points,5800
456,Netherlands,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120
457,Netherlands,Historical,EV charging points,EV,Publicly available slow,2014,charging points,12000
458,Netherlands,Historical,EV charging points,EV,Publicly available fast,2015,charging points,220
459,Netherlands,Historical,EV charging points,EV,Publicly available slow,2015,charging points,18000
460,Netherlands,Historical,EV charging points,EV,Publicly available fast,2016,charging points,400
461,Netherlands,Historical,EV charging points,EV,Publicly available slow,2016,charging points,32000
